[Fri Feb 21 2020 18:56:49.6213 / dg5pLGGNcHItYQwm / 96.54.232.50] **caching** Excluded because is excluded url.  found '/wp-admin/admin-ajax.php' in 'admin-ajax\.php'
[Fri Feb 21 2020 18:56:49.6218 / dg5pLGGNcHItYQwm / 96.54.232.50] **caching** Do not Check Cache because is_admin
[Fri Feb 21 2020 18:56:49.6219 / dg5pLGGNcHItYQwm / 96.54.232.50] **caching** Do not Check Cache because ->disable == true
[Fri Feb 21 2020 18:56:50.6881 / tK7W1Fk7AQgfFVzK / 96.54.232.50] **caching** Excluded because is excluded url.  found '/wp-admin/admin-ajax.php' in 'admin-ajax\.php'
[Fri Feb 21 2020 18:56:50.6886 / tK7W1Fk7AQgfFVzK / 96.54.232.50] **caching** Do not Check Cache because is_admin
[Fri Feb 21 2020 18:56:50.6886 / tK7W1Fk7AQgfFVzK / 96.54.232.50] **caching** Do not Check Cache because ->disable == true
[Fri Feb 21 2020 18:56:50.6888 / tK7W1Fk7AQgfFVzK / 96.54.232.50] **script_execution_benchmarks** Pegasaas Invoked for /wp-admin/admin-ajax.php (0.13227415084839)
[Fri Feb 21 2020 18:56:50.7597 / tK7W1Fk7AQgfFVzK / 96.54.232.50] **script_execution_benchmarks** Pegasaas End for /wp-admin/admin-ajax.php (0.20315098762512)
[Fri Feb 21 2020 18:56:52.3419 / RoJtJAhzdsk9zDU0 / 96.54.232.50] **script_execution_benchmarks** Pegasaas Invoked for /wp-admin/admin-ajax.php (0.145339012146)
[Fri Feb 21 2020 18:56:52.3979 / RoJtJAhzdsk9zDU0 / 96.54.232.50] **script_execution_benchmarks** Pegasaas End for /wp-admin/admin-ajax.php (0.20133686065674)
[Fri Feb 21 2020 18:56:55.5034 / UBjmbqJvfpJ55923 / 96.54.232.50] **script_execution_benchmarks** Pegasaas Invoked for /?wp_service_worker=1 (0.11831903457642)
[Fri Feb 21 2020 18:56:55.6197 / UBjmbqJvfpJ55923 / 96.54.232.50] **script_execution_benchmarks** Pegasaas End for /?wp_service_worker=1 (0.23465204238892)
[Fri Feb 21 2020 18:57:19.3475 / VT4b58w7EyE59UY2 / 96.54.232.50] **script_execution_benchmarks** Pegasaas Invoked for /wp-admin/admin.php?page=pegasaas-accelerator (0.11863803863525)
[Fri Feb 21 2020 18:57:19.3871 / mUdAux15Yj4aGaye / 96.54.232.50] **script_execution_benchmarks** Pegasaas Invoked for /wp-admin/admin-ajax.php (0.15828204154968)
[Fri Feb 21 2020 18:57:19.4927 / mUdAux15Yj4aGaye / 96.54.232.50] **script_execution_benchmarks** Pegasaas End for /wp-admin/admin-ajax.php (0.26386094093323)
[Fri Feb 21 2020 18:57:19.5806 / VT4b58w7EyE59UY2 / 96.54.232.50] **script_execution_benchmarks** Pegasaas End for /wp-admin/admin.php?page=pegasaas-accelerator (0.35171484947205)
